country,size,count
iraq,201-500,153
iraq,51-200,263
iraq,1001-5000,45
iraq,10001+,12
iraq,5001-10000,7
ireland,10001+,68
ireland,1001-5000,292
ireland,501-1000,299
ireland,5001-10000,49
ireland,51-200,2913
ireland,201-500,717
ireland,1-10,16276
ireland,11-50,8499
isle of man,51-200,53
isle of man,201-500,21
isle of man,11-50,219
isle of man,1001-5000,6
isle of man,1-10,319
isle of man,501-1000,7
isle of man,5001-10000,1
isle of man,10001+,1
israel,11-50,4690
israel,10001+,34
israel,1-10,7383
israel,5001-10000,43
israel,1001-5000,162
israel,201-500,459
israel,501-1000,166
israel,51-200,1403
italy,501-1000,1897
italy,10001+,292
italy,1-10,89632
italy,5001-10000,258
italy,11-50,80621
italy,51-200,23301
italy,1001-5000,1395
italy,201-500,5329
ivory coast,201-500,106
ivory coast,51-200,179
ivory coast,1-10,778
ivory coast,501-1000,39
ivory coast,11-50,509
ivory coast,1001-5000,29
ivory coast,10001+,13
ivory coast,5001-10000,3
jamaica,1-10,1003
jamaica,10001+,5
jamaica,11-50,449
jamaica,51-200,181
jamaica,5001-10000,4
jamaica,501-1000,17
jamaica,201-500,74
jamaica,1001-5000,33
japan,201-500,570
japan,10001+,157
japan,51-200,1462
japan,5001-10000,96
japan,11-50,3899
japan,1001-5000,384
japan,1-10,6590
japan,501-1000,316
jersey,51-200,57
jersey,11-50,203
jersey,501-1000,2
jersey,1-10,353
jersey,5001-10000,1
jersey,201-500,19
jersey,1001-5000,7
jordan,1-10,1759
jordan,5001-10000,12
jordan,201-500,298
jordan,1001-5000,70
jordan,10001+,13
jordan,51-200,692
jordan,501-1000,113
jordan,11-50,1785
kazakhstan,11-50,665
kazakhstan,10001+,10
kazakhstan,5001-10000,19
kazakhstan,501-1000,62
kazakhstan,1001-5000,71
kazakhstan,201-500,131
kazakhstan,51-200,288
kazakhstan,1-10,563
kenya,1-10,4136
kenya,201-500,488
kenya,51-200,1168
kenya,5001-10000,33
kenya,10001+,36
kenya,501-1000,200
kenya,1001-5000,162
kenya,11-50,3224
kiribati,1-10,7
kiribati,201-500,3
kiribati,11-50,5
kiribati,51-200,3
kosovo,501-1000,5
kosovo,201-500,12
kosovo,1-10,110
kosovo,11-50,95
kosovo,1001-5000,3
kosovo,51-200,40
kosovo,10001+,2
kuwait,201-500,218
kuwait,1001-5000,121
kuwait,51-200,482
kuwait,5001-10000,21
kuwait,501-1000,113
kuwait,1-10,886
kuwait,11-50,1001
kuwait,10001+,15
kyrgyzstan,11-50,100
kyrgyzstan,1-10,96
kyrgyzstan,201-500,11
kyrgyzstan,501-1000,9
kyrgyzstan,1001-5000,5
kyrgyzstan,51-200,17
kyrgyzstan,5001-10000,1
laos,201-500,20
laos,11-50,84
laos,1-10,71
laos,51-200,37
laos,501-1000,4
laos,1001-5000,7
latvia,51-200,514
latvia,201-500,157
latvia,11-50,1329
latvia,10001+,5
latvia,501-1000,70
latvia,1-10,2034
latvia,1001-5000,45
latvia,5001-10000,5
lebanon,1001-5000,68
lebanon,51-200,754
lebanon,10001+,12
lebanon,11-50,2102
lebanon,501-1000,100
lebanon,1-10,2248
lebanon,201-500,266
lebanon,5001-10000,8
lesotho,1-10,55
lesotho,1001-5000,4
lesotho,51-200,7
lesotho,11-50,37
lesotho,501-1000,5
lesotho,201-500,7
lesotho,10001+,2
liberia,1-10,55
liberia,51-200,32
liberia,11-50,75
liberia,1001-5000,3
liberia,201-500,15
liberia,501-1000,4
libya,1-10,201
libya,10001+,8
libya,5001-10000,5
libya,11-50,211
libya,51-200,73
libya,201-500,39
libya,501-1000,12
libya,1001-5000,21
liechtenstein,11-50,161
liechtenstein,1-10,224
liechtenstein,51-200,53
liechtenstein,1001-5000,11
liechtenstein,201-500,13
liechtenstein,501-1000,5
liechtenstein,5001-10000,1
liechtenstein,10001+,1
lithuania,51-200,809
lithuania,501-1000,107
lithuania,1001-5000,86
lithuania,1-10,2976
lithuania,11-50,1960
lithuania,201-500,255
lithuania,5001-10000,11
lithuania,10001+,12
luxembourg,11-50,1550
luxembourg,5001-10000,18
luxembourg,1001-5000,103
luxembourg,51-200,583
luxembourg,1-10,2683
luxembourg,501-1000,67
luxembourg,201-500,164
luxembourg,10001+,22
macau,1001-5000,6
macau,11-50,44
macau,201-500,5
macau,1-10,59
macau,501-1000,5
macau,51-200,22
macau,10001+,2
macau,5001-10000,1
macedonia,11-50,585
macedonia,501-1000,30
macedonia,51-200,222
macedonia,201-500,65
macedonia,1001-5000,20
macedonia,1-10,923
macedonia,5001-10000,1
macedonia,10001+,2
madagascar,51-200,111
madagascar,1-10,313
madagascar,1001-5000,17
madagascar,11-50,293
madagascar,501-1000,24
madagascar,201-500,66
madagascar,10001+,2
madagascar,5001-10000,3
malawi,201-500,28
malawi,501-1000,15
malawi,51-200,53
malawi,11-50,124
malawi,1-10,124
malawi,1001-5000,14
malawi,10001+,3
malawi,5001-10000,3
malaysia,1-10,8791
malaysia,201-500,1155
malaysia,5001-10000,66
malaysia,501-1000,469
malaysia,10001+,107
malaysia,11-50,8763
malaysia,1001-5000,426
malaysia,51-200,3363
maldives,1-10,200
maldives,501-1000,23
